sku,nome,data_venda,quantidade,receita,categoria,estoque_atual,estoque_minimo
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-01-21,36,4449.44,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-02-09,70,9132.89,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-03-24,34,4970.75,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-04-18,30,4296.26,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-05-02,15,1889.67,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-06-08,137,19674.35,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-07-18,58,8558.62,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-08-23,147,20179.96,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-09-15,158,20915.53,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-10-28,9,1341.42,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-11-06,186,25553.79,Autopeças Industriais,297,18
AUT-0001,Filtro de Combustível Original Chevrolet Código 623,2024-12-09,47,6119.21,Autopeças Industriais,297,18
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-01-25,94,40577.54,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-02-13,32,14787.88,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-03-12,162,73049.23,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-04-02,194,91962.01,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-05-04,104,44605.62,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-06-10,220,108700.87,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-07-28,100,48801.37,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-08-23,25,10624.76,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-09-08,205,93043.28,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-10-03,226,101057.91,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-11-04,105,47514.21,Autopeças Industriais,105,35
AUT-0002,Correia Dentada Linha Leve Iveco Código 101,2024-12-21,221,102282.14,Autopeças Industriais,105,35
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-01-12,98,4261.13,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-02-09,187,9708.43,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-03-21,26,1251.04,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-04-06,144,7129.32,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-05-06,126,5727.02,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-06-21,184,8742.15,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-07-22,91,4625.39,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-08-25,22,961.57,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-09-02,214,9567.95,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-10-09,24,1043.95,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-11-19,232,11455.94,Autopeças Industriais,162,54
AUT-0003,Amortecedor Agrícola Mercedes Código 205,2024-12-07,175,8197.36,Autopeças Industriais,162,54
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-01-21,125,70548.88,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-02-05,71,46625.89,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-03-18,75,49275.98,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-04-14,237,149772.05,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-05-12,64,44504.88,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-06-05,138,85304.55,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-07-25,20,13490.09,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-08-05,168,95258.40,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-09-22,116,73535.14,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-10-13,105,66553.60,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-11-15,143,83087.56,Autopeças Industriais,380,17
AUT-0004,Filtro de Combustível Linha Leve Iveco Código 623,2024-12-18,228,156629.79,Autopeças Industriais,380,17
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-01-22,192,13793.59,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-02-18,200,14967.26,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-03-21,95,6819.35,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-04-14,48,3768.57,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-05-24,232,19428.22,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-06-17,203,14839.75,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-07-04,230,18833.83,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-08-27,171,13606.93,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-09-07,47,3616.29,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-10-06,146,12897.74,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-11-17,8,650.94,Autopeças Industriais,295,37
AUT-0005,Pastilha de Freio Utilitário Mercedes Código 842,2024-12-16,12,861.47,Autopeças Industriais,295,37
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-01-12,232,212269.14,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-02-26,86,65712.44,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-03-08,232,192657.03,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-04-03,29,25047.28,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-05-27,25,22836.73,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-06-18,204,151185.13,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-07-22,129,117025.18,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-08-06,75,61679.41,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-09-20,116,105642.85,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-10-18,201,173523.20,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-11-07,190,147955.63,Autopeças Industriais,96,32
AUT-0006,Correia Dentada Linha Pesada Fiat Código 411,2024-12-22,174,137667.72,Autopeças Industriais,96,32
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-01-17,123,21933.71,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-02-08,24,4533.62,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-03-19,149,27362.32,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-04-08,9,1582.97,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-05-21,23,4222.40,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-06-02,228,42984.36,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-07-17,68,12647.75,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-08-16,62,12319.58,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-09-24,233,46658.92,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-10-16,70,14746.22,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-11-26,112,20350.95,Autopeças Industriais,126,42
AUT-0007,Filtro de Óleo Linha Pesada Mercedes Código 735,2024-12-04,176,34043.89,Autopeças Industriais,126,42
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-01-14,113,25379.12,Autopeças Industriais,169,56
AUT-0008,Filtro de Óleo Industrial Fiat Código 735,2024-02-24,21,4959.44,Autopeças Industriais,169,56
